Preprocessed_Sloka,Tokenss
यस्मात् त्रस्यन्ति भूतानि मृगव्याधान्मृगा इव। सागरान्तामपि महीं लब्ध्वा स परिहीयते ॥,"['यस्मात्', 'त्रस्यन्ति', 'भूतानि', 'मृगव्याधान्मृगा', 'इव।', 'सागरान्तामपि', 'महीं', 'लब्ध्वा', 'स', 'परिहीयते', '॥']"
एतान्यनिगृहीतानि व्यापादयितुमप्यलम्। अविधेया इवादान्ता हयाः पथि कुसारथिम् ॥,"['एतान्यनिगृहीतानि', 'व्यापादयितुमप्यलम्।', 'अविधेया', 'इवादान्ता', 'हयाः', 'पथि', 'कुसारथिम्', '॥']"
यावत्स्वस्थो ह्यय देहः तावन्मृत्युश्च दूरतः। तावदात्महितं कुर्यात् प्रणान्ते किं करिष्यति॥,"['यावत्स्वस्थो', 'ह्यय', 'देहः', 'तावन्मृत्युश्च', 'दूरतः।', 'तावदात्महितं', 'कुर्यात्', 'प्रणान्ते', 'किं', 'करिष्यति॥']"
ईश्वरस्य स्मरणं प्रभाते उत्थाय अवश्यं कर्तंव्यम् ॥,"['ईश्वरस्य', 'स्मरणं', 'प्रभाते', 'उत्थाय', 'अवश्यं', 'कर्तंव्यम्', '॥']"
लोकयात्रा भयं लज्जा दाक्षिण्यं त्यागशीलता। पञ्च यत्र न विद्यन्ते न कुर्यात्तत्र संगतिम् ॥,"['लोकयात्रा', 'भयं', 'लज्जा', 'दाक्षिण्यं', 'त्यागशीलता।', 'पञ्च', 'यत्र', 'न', 'विद्यन्ते', 'न', 'कुर्यात्तत्र', 'संगतिम्', '॥']"
सा भार्या या सुचिदक्षा सा भार्या या पतिव्रता। सा भार्या या पतिप्रीता सा भार्या सत्यवादिनी ॥,"['सा', 'भार्या', 'या', 'सुचिदक्षा', 'सा', 'भार्या', 'या', 'पतिव्रता।', 'सा', 'भार्या', 'या', 'पतिप्रीता', 'सा', 'भार्या', 'सत्यवादिनी', '॥']"
सहायबन्धना ह्यर्थाः सहायाश्चर्थबन्धनाः। अन्योऽन्यबन्धनावेतौ विनान्योऽन्यं न सिध्यतः॥,"['सहायबन्धना', 'ह्यर्थाः', 'सहायाश्चर्थबन्धनाः।', 'अन्योऽन्यबन्धनावेतौ', 'विनान्योऽन्यं', 'न', 'सिध्यतः॥']"
एकेनापि सुवर्ण पुष्पितेन सुगन्धिता। वसितं तद्वनं सर्वं सुपुत्रेण कुलं यथा॥,"['एकेनापि', 'सुवर्ण', 'पुष्पितेन', 'सुगन्धिता।', 'वसितं', 'तद्वनं', 'सर्वं', 'सुपुत्रेण', 'कुलं', 'यथा॥']"
उपदेशो हि मूर्खणां प्रकोपाय न शान्तये ॥,"['उपदेशो', 'हि', 'मूर्खणां', 'प्रकोपाय', 'न', 'शान्तये', '॥']"
मित्रं भुड्क्ते संविभज्याश्रितेभ्यो मितं स्वपित्यमितं कर्म कृत्वा । ददात्यमित्रेष्वपि याचितः संस्तमात्मवन्तं प्रजहत्यनर्थाः ॥,"['मित्रं', 'भुड्क्ते', 'संविभज्याश्रितेभ्यो', 'मितं', 'स्वपित्यमितं', 'कर्म', 'कृत्वा', '।', 'ददात्यमित्रेष्वपि', 'याचितः', 'संस्तमात्मवन्तं', 'प्रजहत्यनर्थाः', '॥']"
आत्मायत्तौ वृद्धिविनाशौ ॥,"['आत्मायत्तौ', 'वृद्धिविनाशौ', '॥']"
विद्यार्थी सेवकः पान्थः क्षुधार्तो भयकातरः। भाण्डारी च प्रतिहारी सप्तसुप्तान् प्रबोधयेत॥,"['विद्यार्थी', 'सेवकः', 'पान्थः', 'क्षुधार्तो', 'भयकातरः।', 'भाण्डारी', 'च', 'प्रतिहारी', 'सप्तसुप्तान्', 'प्रबोधयेत॥']"
सर्वो हि मन्यते लोक आत्मानं निरूपद्रवम् ॥,"['सर्वो', 'हि', 'मन्यते', 'लोक', 'आत्मानं', 'निरूपद्रवम्', '॥']"
न देवो विद्यते काष्ठे न पाषाणे न मृण्मये। भावे हि विद्यते देवस्तस्माद् भावो हि कारणम्॥,"['न', 'देवो', 'विद्यते', 'काष्ठे', 'न', 'पाषाणे', 'न', 'मृण्मये।', 'भावे', 'हि', 'विद्यते', 'देवस्तस्माद्', 'भावो', 'हि', 'कारणम्॥']"
